epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,1478.26,0.60881,0.37596,0.83955,0.85866,0.92471,0.93253,0.72143,0.87004,0.43801,0.88876,0.000239593,0.000239593,0.000239593
167,1486.96,0.59812,0.36224,0.84495,0.82999,0.9099,0.91912,0.71894,0.87028,0.42995,0.88953,0.000237857,0.000237857,0.000237857
168,1495.7,0.58328,0.35469,0.8268,0.80609,0.90052,0.90368,0.70414,0.85049,0.4358,0.88801,0.000236121,0.000236121,0.000236121
169,1504.44,0.60576,0.36981,0.84186,0.87589,0.8801,0.92348,0.71333,0.85878,0.44066,0.89172,0.000234386,0.000234386,0.000234386
170,1513.09,0.6175,0.38074,0.84265,0.88259,0.86796,0.92711,0.70709,0.84619,0.44223,0.88436,0.00023265,0.00023265,0.00023265
171,1522.09,0.6037,0.38035,0.83394,0.89712,0.86806,0.92798,0.71189,0.85638,0.4425,0.88813,0.000230914,0.000230914,0.000230914
172,1530.58,0.61177,0.38059,0.83795,0.88698,0.85048,0.90312,0.69269,0.86505,0.45051,0.88697,0.000229178,0.000229178,0.000229178
173,1539.42,0.60484,0.3627,0.84898,0.83087,0.90218,0.90583,0.71196,0.82844,0.44073,0.88163,0.000227442,0.000227442,0.000227442
174,1548.13,0.58,0.34804,0.82696,0.82994,0.87973,0.9167,0.71553,0.8315,0.44396,0.88112,0.000225707,0.000225707,0.000225707
175,1556.69,0.60017,0.36127,0.83976,0.8258,0.88439,0.90617,0.70491,0.83961,0.43514,0.88894,0.000223971,0.000223971,0.000223971
176,1565.52,0.59326,0.35749,0.83748,0.8236,0.84112,0.88297,0.70036,0.83102,0.44094,0.88498,0.000222235,0.000222235,0.000222235
177,1574.06,0.6098,0.36398,0.83592,0.79959,0.86085,0.89016,0.68796,0.84338,0.44865,0.88593,0.000220499,0.000220499,0.000220499
178,1582.77,0.6023,0.36024,0.8311,0.85565,0.84803,0.92973,0.7245,0.85306,0.45094,0.88901,0.000218763,0.000218763,0.000218763
